id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
40368443,Rental unit in Edinburgh · ★4.83 · 2 bedrooms · 3 beds · 2 baths,312030122,Anna,,Abbeyhill,55.95434,-3.16502,Entire home/apt,275,4,12,2022-08-23,0.29,1,23,5,
39966202,Rental unit in Edinburgh · ★4.81 · 1 bedroom · 3 beds · 1 bath,2404912,Carol,,"Canongate, Southside and Dumbiedykes",55.952278,-3.180542,Entire home/apt,150,2,97,2023-05-28,2.82,3,12,49,
39984381,Rental unit in Edinburgh · 3 bedrooms · 4 beds · 2 baths,5021059,Kim,,Great Junction Street,55.97284,-3.17483,Entire home/apt,299,7,0,,,2,0,0,
40369294,Condo in Edinburgh · ★4.94 · 1 bedroom · 1 bed · 2.5 baths,312033666,Mark,,Great Junction Street,55.97463,-3.17411,Private room,79,1,97,2023-06-11,2.32,1,114,56,
39989662,Rental unit in Edinburgh · ★4.98 · 1 bedroom · 1 bed · 1 bath,225412105,Heather,,Meadows and Southside,55.94232,-3.18439,Entire home/apt,87,3,180,2023-06-11,4.16,1,19,62,
40022497,Rental unit in Edinburgh · ★4.23 · 2 bedrooms · 3 beds · 0 baths,37563463,Altido,,"Canongate, Southside and Dumbiedykes",55.95209,-3.1798,Entire home/apt,171,2,61,2023-05-14,1.42,155,328,28,
40418327,Condo in Edinburgh · ★4.92 · 1 bedroom · 1 bed · 1 shared bath,309537071,Melissa,,Deans Village,55.95211,-3.21669,Private room,135,1,147,2023-06-08,3.46,2,141,77,
40028018,Rental unit in Edinburgh · ★4.68 · 2 bedrooms · 2 beds · 2 baths,305620559,Nasr,,New Town East and Gayfield,55.96097,-3.18418,Entire home/apt,91,3,22,2022-11-05,0.51,1,0,11,
40047517,Rental unit in Edinburgh · ★4.46 · 2 bedrooms · 2 beds · 1 bath,39942612,Sarah,,Deans Village,55.95222,-3.20618,Entire home/apt,174,2,173,2023-06-09,4.02,9,22,82,
40051881,Rental unit in Edinburgh · ★4.59 · 2 bedrooms · 2 beds · 1 bath,646220,Reserve,,New Town West,55.95397,-3.20554,Entire home/apt,323,1,32,2023-04-27,0.75,47,20,10,
40423429,Rental unit in Edinburgh · ★4.79 · 2 bedrooms · 1 bed · 2 baths,309343416,Sonder (Edinburgh),,New Town West,55.95644,-3.19447,Entire home/apt,392,2,24,2023-05-01,0.57,8,262,4,
40423878,Rental unit in Edinburgh · ★4.86 · 2 bedrooms · 1 bed · 2 baths,309343416,Sonder (Edinburgh),,New Town West,55.95488,-3.19355,Entire home/apt,435,2,42,2022-11-25,0.99,8,269,8,
40424412,Rental unit in Edinburgh · ★4.88 · 1 bedroom · 1 bed · 1 bath,18578937,Chantal,,Dalry and Fountainbridge,55.94028,-3.218,Entire home/apt,106,3,48,2023-05-31,1.96,1,52,20,
40056883,Hostel in Edinburgh · ★4.65 · 1 bedroom · 1 bed · 1 private bath,308953378,Xiang,,The Grange,55.93252,-3.17314,Private room,200,1,20,2023-04-25,0.58,6,129,4,
40425084,Rental unit in Edinburgh · ★4.67 · 2 bedrooms · 1 bed · 2 baths,309343416,Sonder (Edinburgh),,"Old Town, Princes Street and Leith Street",55.95472,-3.1927,Entire home/apt,357,2,49,2023-01-28,1.15,8,279,10,
40425105,Rental unit in Edinburgh · ★4.61 · 1 bedroom · 1 bed · 1 bath,309343416,Sonder (Edinburgh),,New Town West,55.95474,-3.1936,Entire home/apt,249,2,119,2023-05-29,2.82,8,289,37,
40427075,Rental unit in Edinburgh · ★4.82 · 2 bedrooms · 1 bed · 1 bath,309343416,Sonder (Edinburgh),,New Town West,55.9552,-3.19221,Entire home/apt,344,2,62,2023-05-26,1.46,8,285,15,
40444599,Hostel in Edinburgh · ★4.79 · 1 bedroom · 1 bed · 0 baths,265403775,Ben,,"Old Town, Princes Street and Leith Street",55.94905,-3.18898,Private room,145,1,226,2023-06-07,5.36,7,148,84,
40461261,Rental unit in Edinburgh · ★4.86 · 1 bedroom · 2 beds · 1 bath,44359990,Alex,,"Old Town, Princes Street and Leith Street",55.94647,-3.18574,Entire home/apt,125,3,97,2023-06-06,2.45,1,19,41,
40057110,Hostel in Edinburgh · ★4.63 · 1 bedroom · 2 beds · 1 private bath,308953378,Xiang,,The Grange,55.93232,-3.17322,Private room,200,1,30,2023-05-23,0.74,6,115,11,
40465685,Rental unit in Edinburgh · ★4.60 · 2 bedrooms · 2 beds · 1 bath,250528515,Bruce,,The Grange,55.93618,-3.18063,Entire home/apt,106,2,20,2023-05-29,0.48,1,310,17,
40059650,Condo in Edinburgh · ★4.87 · 1 bedroom · 1 bed · 1 shared bath,36514787,Dale,,Willowbrae and Duddingston Village,55.95454,-3.15494,Private room,131,1,77,2023-06-08,1.77,1,155,48,
40501821,Rental unit in Edinburgh · 4 bedrooms · 5 beds · 3 baths,312569017,Marianne And Susannah,,Tollcross,55.94662,-3.2022,Entire home/apt,600,2,1,2020-01-01,0.02,1,0,0,
40061101,Rental unit in Edinburgh · ★4.73 · 2 bedrooms · 2 beds · 2 baths,22597535,Host-Ed,,Broughton North and Powderhall,55.96617,-3.19016,Entire home/apt,140,1,22,2023-06-09,0.53,27,36,4,
40077022,Condo in Edinburgh · ★4.76 · 2 bedrooms · 2 beds · 2 baths,97656249,Jessica,,The Shore and Constitution Street,55.97217,-3.16857,Entire home/apt,140,1,215,2023-06-09,5.02,1,209,106,
40079582,Hostel in Edinburgh · ★4.33 · 1 bedroom · 3 beds · 1 private bath,308953378,Xiang,,The Grange,55.9326,-3.17354,Private room,200,1,21,2023-05-12,0.49,6,109,6,
40501845,Condo in Edinburgh · ★4.50 · 2 bedrooms · 2 beds · 3 baths,81835341,Anna,,Abbeyhill,55.95515,-3.16606,Entire home/apt,129,2,4,2023-05-08,0.10,1,16,3,
